player_id,wc,jersey_nb,player,captain,position,DOB,age,exp,club,country,league_division,nat_championship,nat_top5,cont_championship,goals_scored,games_played,share_games_played
Cafu-06,2006,2,Cafu,1,D,7-Jun-70,36,146,Milan,Italy,1,0,1,0,0,7,0.777777778
G. Rinaldi-94,1994,22,G. Rinaldi,0,G,13-Jan-59,35,8,Flamengo,Brazil,1,0,0,0,0,1,0.066666667
Dunga-98,1998,8,Dunga,1,MC,31-Oct-63,34,89,Júbilo Iwata,Japan,1,0,1,0,0,8,0.4
Bebeto-98,1998,20,Bebeto,0,A,16-Feb-64,34,75,Botafogo,Brazil,1,0,0,0,1,6,0.3
Gilberto-10,2010,16,Gilberto,0,D,25-Apr-76,34,34,Cruzeiro,Brazil,1,0,1,0,0,1,0.1
Júlio Cesar-14,2014,12,Júlio Cesar,0,G,3-Sep-79,34,80,Toronto,Canada,1,0,0,0,0,6,0.6
Roberto Carlos-06,2006,6,Roberto Carlos,0,D,10-Apr-73,33,128,Real Madrid,Spain,1,0,1,0,1,8,0.888888889
Rogério Ceni-06,2006,12,Rogério Ceni,0,G,22-Jan-73,33,15,São Paulo,Brazil,1,0,0,1,0,1,0.111111111
G. Silva-10,2010,8,G. Silva,0,MC,7-Oct-76,33,93,Panathinaikos,Greece,1,1,1,0,0,9,0.9
Miranda-18,2018,8,Miranda,3,D,7-Sep-84,33,45,Internazionale,Italy,1,0,1,0,1,8,0.8
Thiago Silva-18,2018,9,Thiago Silva,2,D,22-Sep-84,33,69,Paris Saint-Germain,France,1,1,1,0,0,8,0.8
Fernandinho-18,2018,14,Fernandinho,17,MC,4-May-85,33,42,Manchester City,England,1,1,1,0,0,8,0.8
Taffarel-98,1998,1,Taffarel,0,G,8-May-66,32,101,Atlético Mineiro,Brazil,1,0,1,0,0,12,0.6
Aldair-98,1998,3,Aldair,0,D,30-Nov-65,32,72,Roma,Italy,1,0,1,0,0,12,0.6
Gonçalves-98,1998,14,Gonçalves,0,D,22-Feb-66,32,22,Botafogo,Brazil,1,0,0,0,0,9,0.45
Dida-06,2006,1,Dida,0,G,7-Oct-73,32,91,Milan,Italy,1,0,1,0,0,7,0.777777778
Lúcio-10,2010,3,Lúcio,1,D,8-May-78,32,93,Internazionale,Italy,1,1,1,1,0,7,0.7
Maxwell-14,2014,14,Maxwell,0,D,27-Aug-81,32,7,Paris Saint-Germain,France,1,1,1,0,0,9,0.9
Maicon-14,2014,23,Maicon,0,D,26-Jul-81,32,73,Roma,Italy,1,0,1,0,1,6,0.6
Filipe Luís-18,2018,6,Filipe Luís,6,D,9-Aug-85,32,31,Atlético de Madrid,Spain,1,0,1,0,0,3,0.3
Geromel-18,2018,11,Geromel,4,D,21-Sep-85,32,2,Grêmio,Brazil,1,0,1,1,0,1,0.1
Ricardo Rocha-94,1994,3,Ricardo Rocha,0,D,11-Sep-62,31,42,Vasco da Gama,Brazil,1,0,0,0,0,9,0.6
Cafu-02,2002,2,Cafu,1,D,7-Jun-70,31,110,Roma,Italy,1,0,1,0,0,7,0.5
Zé Roberto-06,2006,11,Zé Roberto,0,MC,6-Jul-74,31,82,Bayern Munich,Germany,1,1,1,0,0,8,0.888888889
J. Pernambucano-06,2006,19,J. Pernambucano,0,MC,30-Jan-75,31,40,Lyon,France,1,1,1,0,5,9,1
Juan-10,2010,4,Juan,0,D,1-Feb-79,31,76,Roma,Italy,1,0,1,0,0,2,0.2
Grafite-10,2010,23,Grafite,0,A,2-Apr-79,31,3,Wolfsburg,Germany,1,0,0,0,0,2,0.2
Jefferson-14,2014,1,Jefferson,0,G,2-Jan-83,31,9,Botafogo,Brazil,1,0,1,0,0,2,0.2
Dani Alves-14,2014,2,Dani Alves,0,D,6-May-83,31,76,Barcelona,Spain,1,0,1,0,0,0,0
Victor-14,2014,22,Victor,0,G,21-Jan-83,31,6,Atlético Mineiro,Brazil,1,0,0,0,0,1,0.1
Branco-94,1994,6,Branco,0,D,4-Apr-64,30,73,Fluminense,Brazil,1,0,0,0,1,12,0.8
Bebeto-94,1994,7,Bebeto,0,A,16-Feb-64,30,58,Deportivo La Coruña,Spain,1,0,1,0,8,8,0.533333333
Dunga-94,1994,8,Dunga,0,MC,31-Oct-63,30,48,VfB Stuttgart,Germany,1,0,0,0,2,13,0.866666667
César Sampaio-98,1998,5,César Sampaio,0,MC,31-Mar-68,30,36,Yokohama Flügels,Japan,1,0,0,0,2,10,0.5
Rivaldo-02,2002,10,Rivaldo,0,MC,19-Apr-72,30,64,Barcelona,Spain,1,0,1,0,3,7,0.5
Edílson-02,2002,20,Edílson,0,A,17-Sep-71,30,19,Cruzeiro,Brazil,1,0,0,0,5,12,0.857142857
Émerson-06,2006,5,Émerson,0,MC,4-Apr-76,30,74,Juventus,Italy,1,0,0,0,0,8,0.888888889
Gilberto-06,2006,16,Gilberto,0,D,25-Apr-76,30,10,Hertha BSC,Germany,1,0,0,0,0,3,0.333333333
Mineiro-06,2006,18,Mineiro,0,MC,2-Aug-75,30,3,São Paulo,Brazil,1,0,0,1,0,0,0
Ricardinho-06,2006,20,Ricardinho,0,MC,23-May-76,30,20,Corinthians,Brazil,1,1,1,0,1,7,0.777777778
Julio Cesar-10,2010,1,Júlio César,0,G,3-Sep-79,30,48,Internazionale,Italy,1,1,1,1,0,9,0.9
Josué-10,2010,17,Josué,0,MC,19-Jul-79,30,27,Wolfsburg,Germany,1,0,0,0,0,2,0.2
Kléberson-10,2010,20,Kléberson,0,MC,19-Jun-79,30,33,Flamengo,Brazil,1,1,1,0,0,1,0.1
Doni-10,2010,22,Doni,0,G,22-Oct-79,30,10,Roma,Italy,1,0,1,0,0,0,0
Fred-14,2014,9,Fred,0,A,3-Oct-83,30,34,Fluminense,Brazil,1,0,0,0,1,4,0.4
Dante-14,2014,13,Dante,0,D,18-Oct-83,30,12,Bayern Munich,Germany,1,1,1,0,1,7,0.7
Cássio-18,2018,2,Cássio,16,G,6-Jun-87,30,1,Corinthians,Brazil,1,1,1,0,0,1,0.1
