Year,Rank_pre,Rank_post,Code,result
1994,1,4,GER,Quartas
1994,2,5,NED,Quartas
1994,3,1,BRA,Campeão
1994,4,2,ITA,Vice-campeão
1994,5,6,ESP,Quartas
1994,6,8,NOR,Grupo E
1994,7,7,ROU,Quartas
1994,8,9,ARG,Oitavas
1994,9,12,DEN,Não se classificou
1994,10,3,SWE,3º
1994,11,10,NGA,Oitavas
1994,12,11,SUI,Oitavas
1994,13,16,FRA,Não se classificou
1994,14,13,IRL,Oitavas
1994,15,18,ENG,Não se classificou
1994,16,15,MEX,Oitavas
1994,17,17,COL,Grupo A
1994,18,23,URU,Não se classificou
1994,19,19,RUS,Grupo B
1994,20,21,ZAM,Não se classificou
1994,21,24,CIV,Não se classificou
1994,22,25,POR,Não se classificou
1994,23,22,USA,Oitavas
1994,24,27,CMR,Grupo B
1994,25,26,EGY,Não se classificou
1994,26,28,GHA,Não se classificou
1994,27,20,BEL,Oitavas
1994,28,30,MAR,Grupo F
1994,29,14,BUL,4º
1994,30,31,TUN,Não se classificou
1994,31,34,GRE,Grupo D
1994,32,32,POL,Não se classificou
1994,33,33,SCO,Não se classificou
1994,34,29,KSA,Oitavas
1994,35,35,WAL,Não se classificou
1994,36,37,AUT,Não se classificou
1994,37,36,KOR,Grupo C
1994,38,42,ISL,Não se classificou
1994,39,46,ECU,Não se classificou
1994,40,40,CHI,Não se classificou
1994,41,39,NIR,Não se classificou
1994,42,49,ZIM,Não se classificou
1994,43,41,BOL,Grupo C
1994,44,43,SVK,Não se classificou
1994,45,44,CZE,Não se classificou
1994,46,45,FIN,Não se classificou
1994,47,47,AUS,Não se classificou
1994,48,48,ALG,Não se classificou
1994,49,50,MLI,Não se classificou
1994,50,51,HON,Não se classificou
1994,51,54,CRC,Não se classificou
1994,52,38,JPN,Não se classificou
1994,53,52,ISR,Não se classificou
1994,54,53,CAN,Não se classificou
1994,55,56,SEN,Não se classificou
1994,56,55,HUN,Não se classificou
1994,57,57,TUR,Não se classificou
1994,58,63,IRN,Não se classificou
1994,59,62,CHN,Não se classificou
1994,60,58,PAR,Não se classificou
1994,61,61,GUI,Não se classificou
1994,62,59,UAE,Não se classificou
1994,63,60,ZAI,Não se classificou
1994,64,64,GAB,Não se classificou
1994,65,68,IRQ,Não se classificou
1994,66,65,SLE,Não se classificou
1994,67,72,PER,Não se classificou
1994,68,66,SLV,Não se classificou
1994,69,67,QAT,Não se classificou
1994,70,80,JAM,Não se classificou
1994,71,70,PRK,Não se classificou
1994,72,69,MLT,Não se classificou
1994,73,71,CYP,Não se classificou
1994,74,73,KUW,Não se classificou
1994,75,81,THA,Não se classificou
1994,76,74,RSA,Não se classificou
1994,77,77,OMA,Não se classificou
1994,78,78,YUG,Não se classificou
1994,79,75,SVN,Não se classificou
1994,80,85,MWI,Não se classificou
1994,81,76,NIG,Não se classificou
1994,82,82,KEN,Não se classificou
1994,83,79,UKR,Não se classificou
1994,84,83,TRI,Não se classificou
1994,85,86,LVA,Não se classificou
1994,86,96,SYR,Não se classificou
1994,87,87,SIN,Não se classificou
1994,88,84,LTU,Não se classificou
1994,89,89,BER,Não se classificou
1994,90,88,NZL,Não se classificou
1994,91,90,CRO,Não se classificou
1994,92,91,BHR,Não se classificou
1994,93,92,SUR,Não se classificou
1994,94,95,VEN,Não se classificou
1994,95,93,MAS,Não se classificou
1994,96,98,JOR,Não se classificou
1994,97,94,FIJ,Não se classificou
1994,98,97,BRB,Não se classificou
1994,99,99,TAN,Não se classificou
1994,100,113,SWZ,Não se classificou
1994,102,100,BFA,Não se classificou
1998,1,1,BRA,Vice-campeão
1998,2,3,GER,Quartas
1998,3,6,CZE,Não se classificou
1998,4,12,MEX,Oitavas
1998,5,10,ENG,Oitavas
1998,6,5,ARG,Quartas
1998,7,11,NOR,Oitavas
1998,8,7,YUG,Oitavas
1998,9,15,CHI,Oitavas
1998,10,17,COL,Grupo G
1998,11,19,USA,Grupo F
1998,12,22,JPN,Grupo H
1998,13,16,MAR,Grupo A
1998,14,8,ITA,Quartas
1998,15,14,ESP,Grupo D
1998,16,28,RUS,Não se classificou
1998,17,20,EGY,Não se classificou
